filename|commit_id|MI|LOC|LLOC|SLOC|multi|blank|single_comments|halstead_volume|cyclomatic_complexity
nova-fffcaea176b785c9715a180f6a629708db16536c/contrib/boto_v6/__init__.py|nova-fffcaea176b785c9715a180f6a629708db16536c|100.0|3|4|33|8|4|22|0|1
nova-fffcaea176b785c9715a180f6a629708db16536c/contrib/boto_v6/ec2/__init__.py|nova-fffcaea176b785c9715a180f6a629708db16536c|100.0|0|0|0|0|0|0|0|1
nova-fffcaea176b785c9715a180f6a629708db16536c/contrib/boto_v6/ec2/connection.py|nova-fffcaea176b785c9715a180f6a629708db16536c|100.0|54|49|120|66|21|0|0|16
nova-fffcaea176b785c9715a180f6a629708db16536c/contrib/boto_v6/ec2/instance.py|nova-fffcaea176b785c9715a180f6a629708db16536c|80.7096985335|23|24|27|4|7|0|23.2646625065|4
nova-fffcaea176b785c9715a180f6a629708db16536c/doc/ext/__init__.py|nova-fffcaea176b785c9715a180f6a629708db16536c|100.0|0|0|0|0|0|0|0|1
nova-fffcaea176b785c9715a180f6a629708db16536c/doc/ext/nova_todo.py|nova-fffcaea176b785c9715a180f6a629708db16536c|62.8571596846|68|63|77|0|27|9|153.247254263|12
nova-fffcaea176b785c9715a180f6a629708db16536c/doc/source/conf.py|nova-fffcaea176b785c9715a180f6a629708db16536c|100.0|89|35|220|0|57|131|0|2
nova-fffcaea176b785c9715a180f6a629708db16536c/nova/__init__.py|nova-fffcaea176b785c9715a180f6a629708db16536c|100.0|2|3|25|7|6|16|0|1
nova-fffcaea176b785c9715a180f6a629708db16536c/nova/api/__init__.py|nova-fffcaea176b785c9715a180f6a629708db16536c|100.0|0|0|16|0|1|16|0|1
nova-fffcaea176b785c9715a180f6a629708db16536c/nova/api/auth.py|nova-fffcaea176b785c9715a180f6a629708db16536c|67.8692040744|89|74|115|3|26|23|66.4171401253|12
nova-fffcaea176b785c9715a180f6a629708db16536c/nova/api/ec2/__init__.py|nova-fffcaea176b785c9715a180f6a629708db16536c|36.3089028851|439|317|494|24|67|31|614.833746966|57
nova-fffcaea176b785c9715a180f6a629708db16536c/nova/api/ec2/apirequest.py|nova-fffcaea176b785c9715a180f6a629708db16536c|63.8459891872|85|87|110|3|27|22|156.911287571|19
nova-fffcaea176b785c9715a180f6a629708db16536c/nova/api/ec2/cloud.py|nova-fffcaea176b785c9715a180f6a629708db16536c|0.0|1339|1131|1464|28|226|97|3330.33981246|222
nova-fffcaea176b785c9715a180f6a629708db16536c/nova/api/ec2/ec2utils.py|nova-fffcaea176b785c9715a180f6a629708db16536c|47.504384045|200|208|265|27|74|38|451.064536625|50
nova-fffcaea176b785c9715a180f6a629708db16536c/nova/api/ec2/faults.py|nova-fffcaea176b785c9715a180f6a629708db16536c|79.5866412177|37|32|52|0|13|15|43.0195500087|5
nova-fffcaea176b785c9715a180f6a629708db16536c/nova/api/ec2/inst_state.py|nova-fffcaea176b785c9715a180f6a629708db16536c|100.0|33|21|50|0|8|17|0|1
nova-fffcaea176b785c9715a180f6a629708db16536c/nova/api/manager.py|nova-fffcaea176b785c9715a180f6a629708db16536c|100.0|8|10|32|8|7|16|0|1
nova-fffcaea176b785c9715a180f6a629708db16536c/nova/api/metadata/__init__.py|nova-fffcaea176b785c9715a180f6a629708db16536c|100.0|0|1|22|8|3|14|0|1
nova-fffcaea176b785c9715a180f6a629708db16536c/nova/api/metadata/base.py|nova-fffcaea176b785c9715a180f6a629708db16536c|34.7092478205|306|280|358|6|103|46|1434.81829231|75
nova-fffcaea176b785c9715a180f6a629708db16536c/nova/api/metadata/handler.py|nova-fffcaea176b785c9715a180f6a629708db16536c|56.4973003626|128|106|147|0|41|19|177.872132116|22
nova-fffcaea176b785c9715a180f6a629708db16536c/nova/api/metadata/password.py|nova-fffcaea176b785c9715a180f6a629708db16536c|75.6201311659|40|41|60|3|12|17|135.706858682|11
nova-fffcaea176b785c9715a180f6a629708db16536c/nova/api/openstack/__init__.py|nova-fffcaea176b785c9715a180f6a629708db16536c|59.8662717265|122|113|157|7|36|28|230.817735763|21
nova-fffcaea176b785c9715a180f6a629708db16536c/nova/api/openstack/auth.py|nova-fffcaea176b785c9715a180f6a629708db16536c|82.9592938246|36|34|55|0|10|19|28.529325013|4
nova-fffcaea176b785c9715a180f6a629708db16536c/nova/api/openstack/common.py|nova-fffcaea176b785c9715a180f6a629708db16536c|42.2136299327|351|290|426|43|95|32|714.087137047|40
nova-fffcaea176b785c9715a180f6a629708db16536c/nova/api/openstack/compute/__init__.py|nova-fffcaea176b785c9715a180f6a629708db16536c|63.4827134736|87|60|110|7|23|16|460.123325128|21
nova-fffcaea176b785c9715a180f6a629708db16536c/nova/api/openstack/compute/consoles.py|nova-fffcaea176b785c9715a180f6a629708db16536c|100.0|79|70|103|2|28|22|0|4
nova-fffcaea176b785c9715a180f6a629708db16536c/nova/api/openstack/compute/contrib/__init__.py|nova-fffcaea176b785c9715a180f6a629708db16536c|100.0|18|12|36|3|11|15|0|1
nova-fffcaea176b785c9715a180f6a629708db16536c/nova/api/openstack/compute/contrib/admin_actions.py|nova-fffcaea176b785c9715a180f6a629708db16536c|48.4248494046|249|251|289|11|46|29|66.6079149265|32
nova-fffcaea176b785c9715a180f6a629708db16536c/nova/api/openstack/compute/contrib/agents.py|nova-fffcaea176b785c9715a180f6a629708db16536c|76.5644831645|101|96|143|23|28|19|4.75488750216|8
nova-fffcaea176b785c9715a180f6a629708db16536c/nova/api/openstack/compute/contrib/aggregates.py|nova-fffcaea176b785c9715a180f6a629708db16536c|47.0414743693|161|164|187|0|35|26|291.18514083|23
nova-fffcaea176b785c9715a180f6a629708db16536c/nova/api/openstack/compute/contrib/availability_zone.py|nova-fffcaea176b785c9715a180f6a629708db16536c|61.7823426734|121|107|144|3|34|20|72.0|10
nova-fffcaea176b785c9715a180f6a629708db16536c/nova/api/openstack/compute/contrib/baremetal_nodes.py|nova-fffcaea176b785c9715a180f6a629708db16536c|52.1562652931|160|155|177|0|33|17|83.7618082853|20
nova-fffcaea176b785c9715a180f6a629708db16536c/nova/api/openstack/compute/contrib/cells.py|nova-fffcaea176b785c9715a180f6a629708db16536c|46.6351221587|214|224|253|7|50|32|182.679487038|25
