filename|commit_id|function_name|function_letter|function_startline|function_endline|function_complexity
nova-fffcaea176b785c9715a180f6a629708db16536c/contrib/boto_v6/__init__.py|nova-fffcaea176b785c9715a180f6a629708db16536c|connect_ec2|F|25|37|1
nova-fffcaea176b785c9715a180f6a629708db16536c/contrib/boto_v6/ec2/connection.py|nova-fffcaea176b785c9715a180f6a629708db16536c|EC2ConnectionV6|C|13|141|9
nova-fffcaea176b785c9715a180f6a629708db16536c/contrib/boto_v6/ec2/connection.py|nova-fffcaea176b785c9715a180f6a629708db16536c|get_all_instances|M|17|43|3
nova-fffcaea176b785c9715a180f6a629708db16536c/contrib/boto_v6/ec2/connection.py|nova-fffcaea176b785c9715a180f6a629708db16536c|run_instances|M|45|141|14
nova-fffcaea176b785c9715a180f6a629708db16536c/contrib/boto_v6/ec2/instance.py|nova-fffcaea176b785c9715a180f6a629708db16536c|ReservationV6|C|10|19|3
nova-fffcaea176b785c9715a180f6a629708db16536c/contrib/boto_v6/ec2/instance.py|nova-fffcaea176b785c9715a180f6a629708db16536c|startElement|M|11|19|3
nova-fffcaea176b785c9715a180f6a629708db16536c/contrib/boto_v6/ec2/instance.py|nova-fffcaea176b785c9715a180f6a629708db16536c|InstanceV6|C|22|34|1
nova-fffcaea176b785c9715a180f6a629708db16536c/contrib/boto_v6/ec2/instance.py|nova-fffcaea176b785c9715a180f6a629708db16536c|__init__|M|23|25|1
nova-fffcaea176b785c9715a180f6a629708db16536c/contrib/boto_v6/ec2/instance.py|nova-fffcaea176b785c9715a180f6a629708db16536c|endElement|M|27|30|2
nova-fffcaea176b785c9715a180f6a629708db16536c/contrib/boto_v6/ec2/instance.py|nova-fffcaea176b785c9715a180f6a629708db16536c|_update|M|32|34|1
nova-fffcaea176b785c9715a180f6a629708db16536c/doc/ext/nova_todo.py|nova-fffcaea176b785c9715a180f6a629708db16536c|_|F|9|10|1
nova-fffcaea176b785c9715a180f6a629708db16536c/doc/ext/nova_todo.py|nova-fffcaea176b785c9715a180f6a629708db16536c|process_todo_nodes|F|13|88|12
nova-fffcaea176b785c9715a180f6a629708db16536c/doc/ext/nova_todo.py|nova-fffcaea176b785c9715a180f6a629708db16536c|setup|F|91|104|1
nova-fffcaea176b785c9715a180f6a629708db16536c/nova/api/auth.py|nova-fffcaea176b785c9715a180f6a629708db16536c|pipeline_factory|F|50|62|4
nova-fffcaea176b785c9715a180f6a629708db16536c/nova/api/auth.py|nova-fffcaea176b785c9715a180f6a629708db16536c|InjectContext|C|65|75|1
nova-fffcaea176b785c9715a180f6a629708db16536c/nova/api/auth.py|nova-fffcaea176b785c9715a180f6a629708db16536c|__init__|M|68|70|1
nova-fffcaea176b785c9715a180f6a629708db16536c/nova/api/auth.py|nova-fffcaea176b785c9715a180f6a629708db16536c|__call__|M|72|75|1
nova-fffcaea176b785c9715a180f6a629708db16536c/nova/api/auth.py|nova-fffcaea176b785c9715a180f6a629708db16536c|NovaKeystoneContext|C|78|141|5
nova-fffcaea176b785c9715a180f6a629708db16536c/nova/api/auth.py|nova-fffcaea176b785c9715a180f6a629708db16536c|__call__|M|81|128|6
nova-fffcaea176b785c9715a180f6a629708db16536c/nova/api/auth.py|nova-fffcaea176b785c9715a180f6a629708db16536c|_get_roles|M|130|141|4
nova-fffcaea176b785c9715a180f6a629708db16536c/nova/api/ec2/__init__.py|nova-fffcaea176b785c9715a180f6a629708db16536c|ec2_error|F|79|92|1
nova-fffcaea176b785c9715a180f6a629708db16536c/nova/api/ec2/__init__.py|nova-fffcaea176b785c9715a180f6a629708db16536c|FaultWrapper|C|96|105|2
nova-fffcaea176b785c9715a180f6a629708db16536c/nova/api/ec2/__init__.py|nova-fffcaea176b785c9715a180f6a629708db16536c|__call__|M|99|105|2
nova-fffcaea176b785c9715a180f6a629708db16536c/nova/api/ec2/__init__.py|nova-fffcaea176b785c9715a180f6a629708db16536c|RequestLogging|C|108|143|2
nova-fffcaea176b785c9715a180f6a629708db16536c/nova/api/ec2/__init__.py|nova-fffcaea176b785c9715a180f6a629708db16536c|__call__|M|111|116|1
nova-fffcaea176b785c9715a180f6a629708db16536c/nova/api/ec2/__init__.py|nova-fffcaea176b785c9715a180f6a629708db16536c|log_request_completion|M|118|143|2
nova-fffcaea176b785c9715a180f6a629708db16536c/nova/api/ec2/__init__.py|nova-fffcaea176b785c9715a180f6a629708db16536c|Lockout|C|146|190|4
