committer_id|bin_2months|num_files|total_code_added|total_code_change|total_code_del|sum_net_contr|avg_net_contr|mean_neighbr_files|mean_neighbr_code_add|mean_neighbr_code_change|mean_neighbr_code_del|mean_neighbr_avg_avg_netcontr|mean_neighbr_avg_sum_netcontr
750|3|401|1559|10567|12427|5912.5|84.4642857143|670.0|13218.0|13965.0|9753.0|142.990384615|22306.5
750|2|40|85|391|330|311.0|23.9230769231|251.0|7871.0|8760.0|11602.0|270.75|10830.0
750|4|19|12|30|13|35.5|8.875|761.0|9192.0|15269.0|1807.0|142.772727273|23557.5
106|16|5|0|76|1|75.5|37.75|647.0|95.5|411.5|305.0|26.3784722222|354.5
750|6|4|6|20|0|26.0|13.0|16.0|176.0|64.0|0.0|30.0|240.0
141|9|64|60|728|28|774.0|51.6|9.0|15.0|147.0|0.0|40.5|162.0
976|10|32|50|418|0|468.0|78.0|65.0|382.0|802.0|68.0|54.7619047619|1150.0
201|7|6|186|321|0|507.0|507.0|485.0|2856.5|5298.0|3327.5|226.26773399|6490.75
751|10|19|21|336|0|357.0|71.4|5.0|3.0|98.0|0.0|101.0|101.0
947|10|30|1006|1039|386|1852.0|185.2|6.0|214.0|20.0|162.0|76.5|153.0
537|12|2|12|24|0|36.0|36.0|128.0|226.0|3373.0|0.0|71.98|3599.0
941|3|43|2977|1030|3238|2388.0|103.826086957|335.333333333|5475.33333333|5992.66666667|3520.66666667|81.0038371253|9707.66666667
60|15|20|6|458|486|221.0|44.2|71.0|1232.0|3691.0|5445.0|183.375|2200.5
750|7|1|0|4|0|4.0|4.0|625.0|6648.0|7493.0|1261.0|84.9716981132|13510.5
744|10|27|26|332|0|358.0|32.5454545455|272.0|1964.0|3854.0|470.0|47.313559322|5583.0
1259|8|82|858|1390|546|1975.0|89.7727272727|9.5|176.5|116.0|0.0|37.7222222222|292.5
519|10|77|115|745|102|809.0|27.8965517241|19.0|48.0|352.5|9.0|70.2613636364|396.0
305|12|16|90|302|0|392.0|196.0|10.5|19.0|32.5|0.0|32.75|51.5
305|10|205|2039|14649|0|16688.0|695.333333333|17.0|2717.0|31.0|0.0|549.6|2748.0
313|14|7|3|1317|0|1320.0|1320.0|9.0|2.0|1317.0|2.0|329.5|1318.0
313|13|72|12|15875|0|15887.0|1323.91666667|6.0|1.0|1316.0|0.0|1317.0|1317.0
847|3|29|8|314|0|322.0|53.6666666667|670.0|13218.0|13965.0|9753.0|142.990384615|22306.5
1608|2|4|260|254|0|514.0|257.0|130.5|4226.5|4709.5|5801.0|259.475|6035.5
742|12|30|65|625|339|520.5|27.3947368421|52.0|126.0|859.0|112.0|44.2380952381|929.0
50|12|51|480|2045|13|2518.5|148.147058824|602.0|7853.0|11120.0|15815.0|50.155461165|11065.5
742|10|60|1308|142|190|1355.0|112.916666667|523.0|4321.0|7138.5|2109.0|114.196629213|10405.0
136|14|104|127|700|271|691.5|21.609375|88.5|171.5|1252.0|228.5|46.5142045455|1309.25
