feature_id_id|bin_2months|committer_id|committer_neighbor_id|count
4942|8|135|16|8
5759|6|1219|720|3
3966|10|198|779|4
106|16|1|16|28
4372|9|563|5|5
6529|4|135|720|3
625|15|38|333|2
3592|10|93|780|1
278|16|30|29|2
7266|4|344|1442|16
7030|4|595|720|6
2823|12|10|16|2
5988|4|93|1010|35
5988|4|335|1010|35
5988|4|335|93|1
4265|8|315|422|8
5553|7|234|1124|3
3535|8|1011|205|1
6670|4|1191|1459|1
7592|3|1123|1425|3
6104|6|335|1171|11
6968|4|85|720|15
4386|7|98|720|2
4934|7|31|720|4
7999|3|847|720|6
5549|7|93|663|4
7968|3|1123|720|8
283|16|30|45|12
2524|12|93|68|16
5954|5|456|720|4
2453|12|520|545|2
2453|12|29|545|15
2453|12|520|29|30
3517|9|449|92|3
3517|9|449|109|9
3517|9|109|92|3
2046|11|109|92|1
2046|11|446|109|20
2046|11|109|66|1
2046|11|92|66|1
2046|11|446|66|20
2046|11|446|92|20
6300|5|31|720|3
2669|12|64|50|6
2669|12|50|5|6
2669|12|64|5|1
3711|10|449|66|9
231|16|31|6|2
6184|6|1418|720|4
337|16|349|6|5
6651|4|161|720|3
2316|12|16|56|2
8222|3|93|1481|1
2270|10|64|844|2
756|15|30|99|1
756|15|30|93|6
756|15|99|93|6
6511|4|330|720|20
6511|3|330|720|36
3947|10|626|595|4
4515|7|1054|720|4
4515|7|31|1054|16
4515|7|31|720|16
4515|6|31|720|8
817|15|31|79|12
5751|6|1374|720|7
7336|4|335|217|1
2391|12|30|177|6
499|15|99|280|9
6097|6|335|1171|11
50|16|31|6|11
8111|3|403|720|24
2830|12|6|64|8
847|15|30|476|28
2490|12|211|479|8
876|15|70|51|10
876|15|70|5|1
876|15|51|5|10
7359|4|161|720|2
5001|7|720|1114|6
79|16|72|70|132
6448|5|672|720|19
7269|4|31|720|4
6433|5|1332|1161|18
7271|4|6|1442|7
3902|10|742|246|6
3902|10|742|16|6
3902|10|246|16|1
1550|13|48|483|2
6971|4|1050|720|8
6577|5|1191|1458|26
6577|5|36|1191|13
6577|5|36|1458|2
5210|7|161|720|2
2589|12|28|390|1
2326|12|860|424|30
4660|8|31|720|1
7708|3|1571|489|8
6505|5|720|1448|8
1765|13|30|45|7
330|16|99|29|1
40|16|124|125|4
6384|5|456|720|15
381|16|378|222|8
1470|14|330|135|6
7524|3|93|1330|7
7524|3|644|93|28
7524|3|644|1330|4
500|16|99|29|10
500|16|36|99|10
500|16|36|29|1
7571|4|626|1168|1
1003|9|595|51|4
171|16|1|243|4
7571|3|626|1168|11
5574|6|897|720|2
5574|6|238|720|3
5574|6|1339|897|10
5574|6|1339|896|5
5574|6|238|897|6
5574|6|238|896|3
5574|6|1339|720|5
5574|6|238|1339|15
5574|6|896|897|2
5574|6|896|720|1
1286|14|6|68|2
833|15|30|161|2
3949|10|626|595|5
7300|4|663|57|45
7300|4|663|720|5
7300|4|57|720|9
5015|8|420|751|1
4223|10|109|31|2
7387|4|344|1442|20
7387|4|344|1010|20
7387|4|1442|1010|1
6535|5|161|720|4
4333|9|344|234|5
6585|5|596|720|4
7918|3|941|873|5
3491|10|30|161|25
6986|4|31|720|20
1711|13|375|5|3
7419|4|663|57|35
7419|4|663|720|21
7419|4|57|720|15
3028|11|968|47|3
3911|10|991|68|33
878|15|558|557|27
1815|13|357|211|4
1815|13|357|56|2
1815|13|211|56|2
627|16|99|29|8
627|16|36|99|4
627|16|36|29|8
1565|14|93|161|1
5879|5|161|720|4
5461|7|36|626|1
3829|10|6|744|6
7383|4|344|1010|15
8016|3|344|1442|5
4524|9|420|751|1
586|14|1|56|8
586|15|99|1|21
586|16|1|211|4
586|16|195|211|3
586|16|1|195|12
7300|3|663|57|26
