committer_id|binnumber_2months|num_files|total_code_added|total_code_change|total_code_del|sum_net_contr|avg_net_contr|mean_neighbr_files|mean_neighbr_code_add|mean_neighbr_code_change|mean_neighbr_code_del|mean_neighbr_avg_avg_netcontr|mean_neighbr_avg_sum_netcontr|num_of_blueprints_per_bin|num_of_bugs_per_bin|dummy_bug_o_blueprint
1|8|109|3425|980|975|3917.5|230.4412|68|3440|556|529|533.0714|3731.5|17|0|0
1|9|264|5468|1274|950|6267|122.8824|98.5|2483|1492.5|395.5|288.5454|3777.75|51|0|0
1|10|216|814|1455|174|2182|114.8421|38|172|932|292|47.9|958|18|0|0
1|11|690|3460|6668|3456|8400|115.0685|33.5|400.5|403|69.5|76.875|768.75|73|0|0
1|12|1038|8283|10538|12529|12556.5|86.00343|119|421|1831|3715|18.78572|394.5|146|0|0
1|13|882|4630|9557|5854|11260|68.24242|306.5|2276.667|3579|1500.5|61.48491|5105.417|135|30|2
1|14|161|4205|2349|1318|5895|155.1316|229|4381|3482|1920|115.9347|6903|24|14|2
1|15|599|10869|9121|5021|17479.5|108.5683|27|616|273|3|88.75|887.5|160|0|0
1|16|542|3448|5399|4022|6836|58.93103|97.28571|794.2857|1214.571|517.8571|52.28486|1749.929|90|26|2
5|9|26|17|186|281|62.5|5.208333|385|6200|6041|3099|87.35104|10691.5|0|11|1
5|10|165|639|1067|652|1380|35.38462|621|7455.7|4827.7|1348.7|116.7849|11609.05|5|34|2
5|11|||||||||||||9|0|0
5|12|42|96|665|295|613.5|30.675|192.375|2691|3821.875|4215.25|123.6903|4405.25|13|7|2
5|13|238|1027|1819|2077|1807.5|100.4167|211.5|983.7|3687.7|3521.7|107.0024|2910.55|8|10|2
5|14|235|53|2710|5381|72.5|10.35714|63|541|597.5|987.5|82.95834|644.75|4|3|2
5|15|33|12|325|66|304|30.4|240|2703.667|1562.333|544|84.09734|3994|0|9|1
5|16|121|665|595|1080|720|144|3705.5|4235|3265|4789.25|80.8914|5105.375|2|3|2
6|2|299|1695|5493|178|7099|244.7931|251|7871|8760|11602|270.75|10830|0|29|1
6|3|131|208|2263|215|2363.5|42.20536|23|29|202|1.5|19.03929|230.25|0|56|1
6|4|86|406|660|327|902.5|30.08333|426.1667|3966.667|5773|1637.667|84.93958|8920.833|6|24|2
6|5|257|129|788|1515|159.5|3.625|58|22|663|17|37.58333|676.5|25|19|2
6|6|154|1921|1795|614|3409|66.84314|2|1|2.5|3.5|.875|1.75|44|7|2
6|7|226|1125|6856|10922|2520|61.46341|57|164|442|166|28.35417|523|8|33|2
6|8|||||||||||||38|26|2
6|9|232|4041|4945|1376|8298|106.3846|1|0|0|1|-.5|-.5|36|42|2
6|10|272|1964|3854|470|5583|47.31356|526.7143|4463.143|5603.429|1858.286|80.71882|9137.429|38|80|2
6|11|184|2902|3147|77|6010.5|139.7791|21|200|2|18|32.16667|193|21|22|2
6|12|89|935|776|118|1652|71.82609|1162|15610|21575|31335|69.63593|21517.5|8|15|2
6|13|230|1120|1808|1166|2345|36.64063|139.5714|1015.857|3296.857|1274.571|101.4617|3675.428|13|51|2
6|14|158|799|1779|822|2167|42.4902|141.25|1005|1773.5|1509.875|56.61079|2023.563|9|42|2
6|15|1502|44657|44948|80396|49407|152.4907|133|488.25|2324.75|2806.25|61.97907|1409.875|278|46|2
6|16|238|1530|3318|2156|3770|36.25|145|445.5|1704.333|1227.333|69.51938|1536.167|28|76|2
7|12|3|1|28|7|25.5|12.75|5|0|15|48|-2.25|-9|0|2|1
7|14|||||||||||||0|6|1
9|16|24|30|306|0|336|42|13|21.5|109|2|36.20833|129.5|0|8|1
10|4|8|14|55|0|69|13.8|540|7430|2891|5277|30.48611|7682.5|0|5|1
10|12|12|18|284|2|301|60.2|728|4832|14278|3824.5|199.9417|17197.75|0|4|1
10|13|5|2|70|0|72|36|323|2101|6131.5|1584.5|62.68518|7440.25|0|2|1
10|16|14|223|69|0|292|73|260.3333|1756.333|3777.333|490|72.42507|5288.667|0|3|1
16|4|540|7430|2891|5277|7682.5|30.48611|338.3333|3982.667|4190.333|2148|66.40931|7099|238|14|2
16|5|944|11002|7139|4697|15792.5|62.91833|113|80|6569|156|172.9211|6571|234|17|2
16|6|||||||||||||388|14|2
16|7|1353|14280|14316|4031|26580.5|111.2155|282.2|1743.2|2766.4|1760|77.80209|3629.6|214|25|2
16|8|640|519|2401|5829|5.5|.0395683|1119.333|1307|2775|8779.667|22.82955|-307.8333|130|9|2
16|9|293|1581|2276|942|3386|29.18966|692.5|3728.5|4657|153.5|140.7815|8308.75|110|6|2
16|10|1036|8424|14254|4187|20584.5|115.6433|442.4546|4152.818|8378.909|3452.273|103.9225|10805.59|158|20|2
16|11|1618|9434|13361|4945|20322.5|83.63169|187|534|814|1001|24.21428|847.5|228|15|2
16|12|1431|9558|26793|7649|32526.5|256.1142|127|1271.333|2346.667|1853.667|52.49169|2691.167|118|9|2
16|13|467|430|1707|2711|781.5|7.514423|463.5|2418.5|5323.5|2927|98.97121|6278.5|79|25|2
16|14|424|791|6683|8868|3040|33.77778|85|1070.286|776|610.1429|104.4096|1541.214|61|29|2
16|15|357|946|6371|9960|2337|35.95385|386.6667|8452.333|9689.5|15778.83|96.56375|10252.42|50|15|2
16|16|359|1998|4473|1202|5870|55.37736|234.3333|1296|2134.333|1568|52.16893|2646.333|88|18|2
22|3|318|3396|10128|817|13115.5|397.4394|287|1644|6603|291|368.25|8101.5|32|0|0
28|10|22|169|228|43|375.5|62.58333|955|8460|5360|2642|127.5901|12499|6|0|0
