id,label,lines_of_code_added_sum,lcc_wt_mu_inter_commit_time,lines_of_code_added_avg,lcc_std_spatial_inter,ego_lines_of_code_removed_sum,s_wt_n_com_code,s_wt_sum_joint_commit,nbc_wt_std_inter_commit_time,nbc_wt_mu_inter_commit_time,lcc_wt_mean_joint_commit,lcc_wt_hm_diff_first_commit_time,nbc_wt_hm_diff_first_commit_time,lcc_diff_90_10_spatial,s_wt_hsum_diff_last_commit_time,neigh_lines_of_code_removed_mean,tenure_committer,avg_hv_committer,ego_total_num_committs,triangle,lcc_mean_spatial_inter,s_diff_90_10_temporal,neigh_lines_of_code_added_avg,lcc_wt_hsum_diff_first_commit_time,neigh_lines_of_code_removed_sum,neigh_lines_of_code_added_sum,nbc_wt_hsum_diff_last_commit_time,lines_of_code_removed_mean,nbc_wt_hsum_diff_first_commit_time,s_median_spatial_inter,s_mean_spatial_inter,ego_lines_of_code_removed_mean,nbc_wt_n_com_code,nbc_diff_90_10_spatial,nbc_wt_sum_joint_commit,lcc_wt_sum_joint_commit,nbc_median_spatial_inter,s_wt_mean_joint_commit,s_wt_hm_diff_last_commit_time,ego_lines_of_code_added_avg,nbc_diff_90_10_temporal,nbc_wt_hm_diff_last_commit_time,nbc_wt_mean_joint_commit,s_wt_mu_inter_commit_time,lcc_wt_n_com_code,ego_lines_of_code_added_sum,neigh_total_num_committs,lines_of_code_removed_sum,kshell_index,s_std_spatial_inter,avg_cc_committer,s_wt_hm_diff_first_commit_time,lcc_wt_hm_diff_last_commit_time,s_diff_90_10_spatial,avg_mi_committer,nbc_std_spatial_inter,lcc_wt_std_inter_commit_time,s_wt_std_inter_commit_time,nbc_mean_spatial_inter,total_num_committs,s_wt_hsum_diff_first_commit_time,lcc_median_spatial_inter,lcc_wt_hsum_diff_last_commit_time
0,Eoghan_Glynn,2544.0,0.0269574672417,20.352,0.0171359729986,1816.36486486,212.0,3300961.0,8.29225424256E28,1.6230705575E21,0.0327073309762,1.53327418743E-4,0.0123886111715,0.0284814134704,3894.05801213,1823.49315068,38.931712963,1407.65116656,97.0540540541,940.0,0.0265552942916,4984.61573753,15.3350954855,6.88318926793E-5,1823.49315068,1894.35616438,0.0176918061291,1296.0,0.0136057378831,685.0,974.166318972,1816.36486486,0.0279609909932,0.020386872419,0.028192201,1.11038504576E-4,0.0275583776264,590.712223026,5.08760101681,15.4028914924,2.5597890823299999E18,0.013910019561,0.0180578771852,711.967484576,0.0164702254096,1903.13513514,96.6712328767,1296.0,23,575.000916478,76.8510638298,7.70976298829,5.37215511695E-4,2184.42806479,35.9067670562,1.69073126158E20,0.0111517882028,147.01939072,0.0209048757516,125.0,155632.89289,0.0105838257842,3.70987000952E-6
1,Nikhil_Komawar,259.0,0.0316211903521,18.5,0.012454833711,4193.57692308,41.0,23132.0,5.79912210884E27,3.58369399025E14,0.0632735845806,1.79913376921E-4,0.0,0.0427388778528,8.56440627022,4359.28,4.9427662037,2537.18239294,192.038461538,200.0,0.0399064718492,804.505339645,16.9553070871,4.97257698052E-6,4359.28,4689.56,1.30406433384E-4,51.0,4.3468811128E-5,212.5,244.175598703,4193.57692308,0.00315301448876,0.00104325146707,0.00536241380847,4.29472741381E-5,0.0,230.717593948,0.854863235405,17.014718353,8227578.3537,4.3468811128E-5,0.0117007299995,140.158232445,0.022106563772,4519.15384615,199.16,51.0,20,68.4118040447,138.571428571,0.709768793018,8.17668098989E-4,548.93798751,26.7034829004,7.75922135179E16,0.00898502788684,27.8861244617,7.71571397522E-4,14.0,23.1378635824,0.019350796844,8.81295884914E-7
2,Greg_Althaus,68.0,0.0,11.3333333333,0.00780138089233,12254.1428571,8.0,164.0,4.33303266545E19,1.63246922398E16,0.0546637923787,2.78796709096E-4,0.00195609650076,0.0461188481606,2.06162122431,14293.3333333,0.0,1490.28703456,250.714285714,11.0,0.0426396137089,216.623946759,22.5568185573,4.59006726801E-6,14293.3333333,14537.1666667,0.0,19.0,0.0,43.0,50.5277777778,12254.1428571,1.7794286273E-4,0.0,0.0,7.70695312389E-6,0.0,26.0,0.290400164288,20.9534635253,0.0,5.65094544664E-4,8.0707092661E-4,24.0693274177,0.0204974855525,12470.1428571,291.5,19.0,6,13.4859454073,89.8,0.47535536945,8.19369766066E-4,116.533333333,23.0225633406,0.970293271724,0.0,0.0,0.0,6.0,0.971253089867,0.0231594919614,3.01015990882E-7
3,Ram_Nalluri,29.0,0.0,4.83333333333,0.0,1681.0,3.0,6.0,0.470186551359,1.97217649519,0.0334616237293,1.45130853384E-4,0.0,0.0389644005743,0.0454648390401,2239.33333333,0.0,378.809815946,227.0,3.0,0.0363569812084,2.75947429516E-12,7.9838741988,2.52776238161E-7,2239.33333333,1857.0,0.0,6.0,0.0,13.0,13.0,1681.0,4.98890899171E-5,0.0,0.00228456381342,7.12794787235E-7,0.0,6.0,0.0454648390401,7.19623898244,3.62621085481E-4,0.0,8.12628930193E-4,0.0,0.0358565800354,1400.0,300.666666667,6.0,3,0.0,15.5,0.0454648390401,8.96935261656E-4,29.7,57.8086460882,0.28363918824,0.0,0.0,0.0,6.0,0.0454648390401,0.0202197366744,1.01263009993E-7
4,Florian_Haas,7.0,0.0802574099206,3.5,0.0,540.333333333,2.0,48.0,0.0,0.0,0.0986825936617,2.91861885736E-4,0.0,0.0676742969937,0.182983493509,808.5,0.0,6602.44279656,76.6666666667,1.0,0.0650165787041,110.769844907,15.1160500502,1.34221729053E-6,808.5,1766.5,0.0,4.0,0.0,13.0,16.3333333333,540.333333333,9.65973580623E-6,0.0,0.0,5.58952637763E-6,0.0,16.0,0.0609944978364,11.2440333668,0.0,0.0,0.0,19.451249826,0.0231077830632,1180.0,114.0,4.0,2,0.0,272.0,0.163227767214,0.00100710799824,36.1,0.0,2.1873357034E-4,0.0,1.7763568394E-15,0.0,2.0,0.489683301641,0.0305138144814,2.71500035833E-7
5,jokcylou,0.0,0.0,0.0,0.0,5312.75,3.0,10.0,3.03512714996E9,5.59420702232E-5,0.0556431430524,1.35018388068E-4,0.0,0.0357321811447,0.0448076666614,7083.0,0.0,103.726274277,334.5,3.0,0.0329183627875,60.8975347222,7.56542661413,5.33518926578E-7,7083.0,2889.0,0.00156487720061,2.0,0.00156487720061,12.0,12.6666666667,5312.75,5.13593569419E-5,0.0,9.85054531918E-4,3.25859261202E-6,0.0,7.0,0.0361339049112,5.6740699606,0.0,0.0,9.78387380781E-5,20.2991782407,0.0353252516651,2166.75,445.666666667,2.0,3,0.0,17.0,0.0331359061356,8.41736147973E-4,29.0,62.7663074955,690434.931378,0.0,0.0,0.0,1.0,0.0388116691102,0.0189102275374,2.59689260965E-7
6,Salvatore_Orlando,42.0,0.00565741120984,10.5,0.00671599612518,1338.75,9.0,52.0,5.45138260798E21,2065921.57043,0.0257131944847,1.9123818463E-4,0.0,0.0498440625132,0.479022320147,1528.28571429,68.7695717593,486.328431748,211.25,19.0,0.0440660622026,69.0082175926,23.3527152514,2.71640126144E-7,1528.28571429,1948.42857143,0.0,12.0,0.0,38.5,44.2777777778,1338.75,1.28553768543E-4,0.0,0.00590276065508,5.00585632872E-7,0.0,16.0,0.181647916746,21.746125845,2.55936466146E-4,0.0,0.0077387895497,23.0027391975,0.0206545712104,1710.125,240.857142857,12.0,7,7.10328440258,36.0,0.194605323998,7.8385577392E-4,107.563333333,42.632008713,2.5131543186E-4,0.0,0.0,0.0,4.0,0.529119281296,0.0223673843754,7.48245632634E-8
7,Christoph_Thiel,140.0,0.00681790588996,15.5555555556,0.012362084957,5121.04545455,31.0,2283.0,2.8218166032E25,9.80795818864E22,0.0395132775939,1.57215530054E-4,0.0,0.044877684485,12.4490919598,5364.04761905,2.98618055556,2286.68534872,185.363636364,139.0,0.0408705486139,379.013746691,15.8982808252,1.35335485192E-6,5364.04761905,5003.80952381,0.0126494240383,18.0,0.00660725929146,181.0,204.931865199,5121.04545455,0.0019074834397,0.0,0.00666368249828,5.29656978795E-6,0.0,101.060189221,0.861333094617,15.8827024038,2.3887109225E10,4.3468811128E-5,0.0039855088827,49.7648940122,0.0183645648408,4782.72727273,193.761904762,18.0,16,43.5197827768,73.875,0.663684750654,6.94370808568E-4,479.475528755,30.5299624763,3.03379048299E22,6.10429545179E-4,10.8714925171,0.0,9.0,8.31184187041,0.0210817460861,3.2744519312E-7
8,Yaguang_Tang,186.0,0.0277795072541,9.78947368421,0.00495257440736,4461.51851852,40.0,3335.0,1.34814123636E28,1.14864565033E22,0.0474037015445,1.75824956205E-4,0.00343403607911,0.0337710334377,5.16604850507,4617.30769231,187.651469907,2984.96699685,172.074074074,214.0,0.0304996906482,1513.97899372,15.4558664794,1.35311605407E-6,4617.30769231,4428.84615385,0.010171701804,411.0,0.00547707020213,122.0,181.757360287,4461.51851852,0.00350279165894,0.00547707020213,0.0120379374839,6.24620845681E-6,0.0463417585999,171.765302236,0.810874441549,15.2460000795,5.69402904078E13,3.47750489024E-4,0.00463908623917,183.609353292,0.0191746854364,4271.7037037,177.961538462,411.0,22,39.1534135101,123.6,0.899412356563,6.81499758933E-4,420.343869856,38.0513641612,2.2890366362399998E19,0.00440180583775,36.746907331,0.00693327537492,19.0,8.3011566284,0.0132275960299,2.47045647297E-7
9,Julien_Danjou,143.0,0.0220344393514,11.0,0.00634176076621,5057.08695652,27.0,1330.0,1.69403053975E27,1.20649285E17,0.0501519509697,2.01438948334E-4,0.00708541621387,0.0546247416035,3.75668362593,5285.13636364,64.9440972222,2960.39129047,191.913043478,162.0,0.0514018862127,799.412394781,19.0356822251,1.82990260296E-6,5285.13636364,5227.45454545,0.0126928928494,40.0,0.0123886111715,164.5,270.895093795,5057.08695652,0.00420983437662,0.00321669202347,0.00423293857004,5.73255470457E-6,0.00311773579243,133.954545455,0.506496760529,18.6863047371,5.26582689365E15,0.00673766572484,0.0030328050353,122.021927189,0.0177551828307,5006.39130435,200.045454545,40.0,18,65.8489919592,141.333333333,0.82644322679,8.43527265315E-4,609.867489177,22.9349231961,6.24846991728E23,4.94100717787E-4,8.75521216821,0.00267333188437,13.0,3.97680996841,0.0212404560583,3.35682604697E-7
