id,label,lines_of_code_added_sum,lcc_wt_mu_inter_commit_time,lines_of_code_added_avg,lcc_std_spatial_inter,ego_lines_of_code_removed_sum,s_wt_n_com_code,s_wt_sum_joint_commit,nbc_wt_std_inter_commit_time,nbc_wt_mu_inter_commit_time,lcc_wt_mean_joint_commit,lcc_wt_hm_diff_first_commit_time,nbc_wt_hm_diff_first_commit_time,lcc_diff_90_10_spatial,s_wt_hsum_diff_last_commit_time,neigh_lines_of_code_removed_mean,tenure_committer,avg_hv_committer,ego_total_num_committs,triangle,lcc_mean_spatial_inter,s_diff_90_10_temporal,neigh_lines_of_code_added_avg,lcc_wt_hsum_diff_first_commit_time,neigh_lines_of_code_removed_sum,neigh_lines_of_code_added_sum,nbc_wt_hsum_diff_last_commit_time,lines_of_code_removed_mean,nbc_wt_hsum_diff_first_commit_time,s_median_spatial_inter,s_mean_spatial_inter,ego_lines_of_code_removed_mean,nbc_wt_n_com_code,nbc_diff_90_10_spatial,nbc_wt_sum_joint_commit,lcc_wt_sum_joint_commit,nbc_median_spatial_inter,s_wt_mean_joint_commit,s_wt_hm_diff_last_commit_time,ego_lines_of_code_added_avg,nbc_diff_90_10_temporal,nbc_wt_hm_diff_last_commit_time,nbc_wt_mean_joint_commit,s_wt_mu_inter_commit_time,lcc_wt_n_com_code,ego_lines_of_code_added_sum,neigh_total_num_committs,lines_of_code_removed_sum,kshell_index,s_std_spatial_inter,avg_cc_committer,s_wt_hm_diff_first_commit_time,lcc_wt_hm_diff_last_commit_time,s_diff_90_10_spatial,avg_mi_committer,nbc_std_spatial_inter,lcc_wt_std_inter_commit_time,s_wt_std_inter_commit_time,nbc_mean_spatial_inter,total_num_committs,s_wt_hsum_diff_first_commit_time,lcc_median_spatial_inter,lcc_wt_hsum_diff_last_commit_time
0,Tom_Cammann,30.0,0.0,30.0,0.0,1975.5,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.138219698291,3944.0,0.0,258.984708724,186.0,0.0,0.0,0.0,13.5714285714,0.0,3944.0,5035.0,0.0,7.0,0.0,13.0,11.3333333333,1975.5,0.0,0.0,0.0,0.0,0.0,2.0,0.0276439396581,21.7857142857,0.0,0.0,0.0,0.0,0.0,2532.5,371.0,7.0,1,4.03870166156,16.0,0.0276439396581,0.0,26.68,64.293769047,0.0,0.0,0.0,0.0,1.0,0.138219698291,0.0,0.0
1,Mohammed_Naser,93.0,0.00673861880252,4.65,0.00872758862484,1273.28,41.0,10990.0,6.86289610353E42,2.33665308371E32,0.0657769195901,1.29609457646E-4,0.0021499668215,0.0287884970118,3.97750103487,1324.625,2.02381944444,1190.51852371,155.32,170.0,0.0256557096423,575.445125,15.1597641351,1.73877987364E-6,1324.625,1947.83333333,0.00995355009954,41.0,0.00464499004645,105.5,152.065902965,1273.28,0.00470520885718,0.00777704047777,0.0188059042238,6.3337975296E-5,0.00207500747087,136.58721174,0.500465507673,14.7393735697,1.16846659506E22,0.00100862641009,0.00696991478079,92.2937959766,0.0402895410239,1873.64,160.958333333,41.0,17,50.9429410078,43.25,0.854671326895,8.85059624114E-5,353.656626235,48.2644152604,7.03523555129E21,2.09114480922E-4,4.27777154199,0.00731917717319,20.0,29.0159676797,0.0359378396563,3.12666081463E-5
2,DuYaHong,12.0,0.0,6.0,0.0,256.0,2.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0345447398612,507.0,0.0,523.924484871,21.0,0.0,0.0,0.0,20.1,0.0,507.0,804.0,0.0,5.0,0.0,7.0,9.83333333333,256.0,0.0,0.0,0.0,0.0,0.0,3.5,0.00431809248265,13.05,0.0,0.0,0.0,0.0,0.0,408.0,40.0,5.0,1,4.27200187266,25.5,0.0144182029813,0.0,23.05,55.6994685062,0.0,0.0,0.0,0.0,2.0,0.11534562385,0.0,0.0
3,Sahid_Orentino_Ferdjaoui,2300.0,0.0103715859446,17.037037037,0.00612862113301,853.566037736,104.0,105464.0,8.11329191365E40,1.56989547574E29,0.0448580743655,9.64651167318E-5,0.0182614465826,0.0231514853942,79.6297598685,847.307692308,53.0955902778,2114.54856137,107.641509434,540.0,0.0207146827601,2238.85010645,15.200218384,6.31830239308E-6,847.307692308,1269.78846154,0.0418845388188,1179.0,0.0354611811546,366.5,439.06194048,853.566037736,0.0183726930043,0.0129794293298,0.025734171931,1.01413066296E-4,0.00722842536762,299.884608479,2.08019447514,15.2348753397,6.95410379018E23,0.0172793629728,0.0245889020642,300.724071019,0.0267517487078,1289.22641509,107.115384615,1179.0,22,111.736548549,92.4326923077,2.27923051308,7.08089269221E-5,1020.83680182,48.6226218673,4.62963406162E26,0.0031317558878,105.235063166,0.0136872373369,135.0,255.389764129,0.0322720986597,5.27597770937E-5
4,Rakesh_H_S,16.0,0.0,8.0,0.0,32.0,2.0,5.0,4.93900174475E-4,0.00145169189505,0.0441898811637,9.30952992299E-5,5.30856005309E-5,0.117991723728,0.0429476685311,48.0,0.0,422.007724686,18.3333333333,1.0,0.107603639248,2.75947429516E-12,18.4424242424,5.29217272421E-8,48.0,378.5,0.0,0.0,2.38885202389E-4,23.0,32.6666666667,32.0,0.0,0.0,0.0,8.21007007352E-7,0.0,5.0,0.0429476685311,14.9616161616,0.0,0.0,0.0,0.0,0.0294117647059,257.666666667,26.5,0.0,2,0.0,30.0,0.0119305857427,1.00321324139E-4,75.5,42.4316211912,8.21143720764E-4,0.0,0.0,0.0,2.0,0.0119305857427,0.159144814618,1.6441909856E-6
5,Kun_Huang,3.0,0.0,1.5,0.0,1600.66666667,2.0,20.0,3.57594842406E-4,1.50435361352E-4,0.132808647054,1.04344301179E-4,0.0,0.0335326881407,0.0326804661934,2399.5,0.360520833333,484.057958175,279.333333333,1.0,0.0282220185449,0.0,8.73145480225,1.51386391163E-6,2399.5,4333.5,0.0,3.0,0.0,5.5,6.5,1600.66666667,3.54110773552E-5,0.0,0.0,6.29741372154E-5,0.0,7.0,0.00972507330956,6.32096986816,9.31763696981E-5,0.0,0.0,0.0,0.0923935485997,2890.0,418.0,3.0,2,0.166666666667,28.5,0.0120159214484,4.87013701026E-5,16.95,54.8749964525,0.0,0.0,0.0,0.0,2.0,0.041840465135,0.0415971092038,2.03709850352E-5
6,Abhishek_Kekane,43.0,0.0,21.5,0.0,42.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00345868892312,83.0,0.0,261.731957392,29.5,0.0,0.0,2.75947429516E-12,7.40350877193,0.0,83.0,422.0,0.0,1.0,0.0,4.0,5.66666666667,42.0,0.0,0.0,0.0,0.0,0.0,2.0,0.00345868892312,14.451754386,0.0,0.0,0.0,0.0,0.0,232.5,57.0,1.0,1,0.0,19.0,0.00345868892312,0.0,12.8,55.0840060974,0.0,0.0,0.0,0.0,2.0,0.00345868892312,0.0,0.0
7,Oleg_Bondarev,27.0,0.0,13.5,0.0,1504.6,4.0,15.0,2.03672200667E21,7.08145902829E10,0.0548966240368,1.11073256567E-4,0.0,0.0602521790756,0.0631449273627,1879.75,0.0,2637.56876404,207.0,6.0,0.0541273044686,4.47726851852,12.7095446021,3.74257426554E-7,1879.75,3232.75,0.0,4.0,0.00278699402787,27.0,33.0,1504.6,2.34090376888E-4,0.0,0.00318965436472,6.55687448024E-6,0.0,9.0,0.036403355407,12.8676356817,1.92778648716E8,0.0,0.00113491063174,1.49242283951,0.0541325248286,2591.6,258.25,4.0,4,0.0,165.0,0.0356481299346,1.24505837735E-4,77.4,8.8933703462,2.62782205534E10,0.0,0.0,0.0,2.0,0.0608792509454,0.0823279484904,1.22592393279E-5
8,Yunhong_Jiang,273.0,0.00102896137672,8.27272727273,0.00289349850219,1090.84375,51.0,1398.0,7.37447836818E36,2.37290907827E27,0.0453616442972,1.15084182996E-4,0.00445919044459,0.0268770230838,422.14963116,1118.16129032,24.3103587963,695.876292093,132.25,280.0,0.0234785414611,444.186397068,13.8459498508,8.36748179611E-7,1118.16129032,1666.80645161,0.0393629727936,244.0,0.0397611147976,169.0,180.975180375,1090.84375,0.00385831099802,0.00431320504313,0.0495484370791,1.48055629194E-5,0.00682407259676,105.710606061,6.58226548858,13.6717866452,2.18522744306E25,0.00719309887193,0.0155635575796,104.710208758,0.0348876744251,1623.25,135.451612903,244.0,22,20.397150025,44.2580645161,0.91069248071,1.48094889341E-4,436.0945671,50.741894201,1.43784527469E29,2.08889500565E-4,24.130189874,0.0093098871931,33.0,5.54795255276,0.039283400308,6.69963383057E-5
9,Xing_Yang,151.0,0.0,25.1666666667,0.0,668.333333333,5.0,14.0,3.49785521653E27,1.8400430398E29,0.0309500897322,1.0641143952E-4,0.00289316522893,0.0275891070565,0.288129134966,795.8,304.916331019,1381.69764919,144.833333333,7.0,0.0242761842526,0.0,17.8632118272,1.19692969677E-7,795.8,1428.8,0.0111479761115,31.0,0.0122627737226,22.0,29.6666666667,668.333333333,4.33977875097E-4,2.9197080292E-4,0.00702878081167,1.0853382792E-6,0.0,11.0,0.284403372634,19.0804543005,1.43091485991000013E18,0.00541473125415,0.0015028573874,0.0,0.0230803591231,1215.83333333,172.6,31.0,4,0.0,59.5,0.284735310614,9.49842725577E-5,69.2,25.2061756804,3.65151483482E19,0.0,0.0,1.99071001991E-5,6.0,0.288793010924,0.0401467800608,3.09259803634E-6
